artist_name,track_name,popularity,track_id,track_uri,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration,genre
Mamamoo,HIP,77,24nK8tW7Pt3Inh2utttuoG,spotify:track:24nK8tW7Pt3Inh2utttuoG,0.782,0.731,-4.581,0.143,0.0376,3.15e-05,0.0956,0.824,138.032,195307,kpop
EVERGLOW,DUN DUN,78,3CyCjgTHFzqucmECajq8QA,spotify:track:3CyCjgTHFzqucmECajq8QA,0.692,0.881,-2.563,0.0461,0.0457,4.26e-06,0.146,0.433,103.055,192280,kpop
ZICO,Any song,80,1iIhGHzzrzqQfuNkFI2qAn,spotify:track:1iIhGHzzrzqQfuNkFI2qAn,0.874,0.787,-2.416,0.129,0.118,0.0,0.11,0.896,108.007,227227,kpop
BTS,Spring Day,75,0WNGsQ1oAuHzNTk8jivBKW,spotify:track:0WNGsQ1oAuHzNTk8jivBKW,0.539,0.846,-3.192,0.0354,0.0063,1.68e-06,0.13,0.46,106.992,274097,kpop
BTS,Serendipity (Full Length Edition),73,5cQB9fbuQCz4muQUFkv3rR,spotify:track:5cQB9fbuQCz4muQUFkv3rR,0.347,0.578,-7.525,0.0626,0.445,0.0,0.231,0.226,86.73,276708,kpop
NCT 127,Kick It,72,1ayaOin9hxCtyhg4UsBTpg,spotify:track:1ayaOin9hxCtyhg4UsBTpg,0.681,0.847,-2.462,0.0869,0.0306,0.0,0.0808,0.507,167.031,233013,kpop
BTS,Blood Sweat & Tears,75,5RGf8qn1TBWVplLyyKUsuV,spotify:track:5RGf8qn1TBWVplLyyKUsuV,0.583,0.885,-3.571,0.106,0.0244,0.0,0.357,0.601,92.959,217052,kpop
GOT7,NOT BY THE MOON,76,1pmfd0ohjfh1qXPWvjaC1o,spotify:track:1pmfd0ohjfh1qXPWvjaC1o,0.549,0.813,-4.828,0.148,0.0556,4.44e-06,0.207,0.544,151.813,204702,kpop
BTS,IDOL,75,2AIWoHr9DF6y4KALCBKWQS,spotify:track:2AIWoHr9DF6y4KALCBKWQS,0.734,0.855,-3.211,0.118,0.00481,0.0,0.123,0.422,126.035,222732,kpop
BTS,Mikrokosmos,74,5hnbE5BF2e8BCk9OMR1UVC,spotify:track:5hnbE5BF2e8BCk9OMR1UVC,0.58,0.858,-5.212,0.114,0.125,0.0,0.0502,0.475,174.039,224225,kpop
BTS,MIC Drop (Steve Aoki Remix) [Full Length Edition],75,75scDPqGs75FotglJSoOI2,spotify:track:75scDPqGs75FotglJSoOI2,0.606,0.848,-3.952,0.184,0.0114,1.06e-06,0.206,0.54,170.01,307676,kpop
BTS,HOME,74,7lthOBXNue2IvedLRfkod8,spotify:track:7lthOBXNue2IvedLRfkod8,0.633,0.799,-4.625,0.0429,0.0142,0.0,0.194,0.535,142.991,234178,kpop
K/DA,POP/STARS,75,5sbooPcNgIE22DwO0VNGUJ,spotify:track:5sbooPcNgIE22DwO0VNGUJ,0.566,0.769,-4.342,0.0872,0.0183,0.0,0.108,0.385,170.036,191100,kpop
JENNIE,SOLO,72,2wVDWtLKXunswWecARNILj,spotify:track:2wVDWtLKXunswWecARNILj,0.751,0.642,-5.165,0.087,0.0861,0.0,0.0953,0.388,95.045,169567,kpop
BTS,FAKE LOVE,74,3aW0ds4A4tSQDIp75FqWTo,spotify:track:3aW0ds4A4tSQDIp75FqWTo,0.557,0.719,-4.515,0.0372,0.00267,0.0,0.306,0.344,77.501,242334,kpop
